p            t        qv           u      v
95404.7    295.991    0.0149744     0     0     
93241.8    294.475    0.0143331     0     0     
91116.1    292.911    0.0136919     0     0     
89027.2    291.384    0.0130506     0     0     
86974.8    289.884    0.0124094     0     0     
84958.7    288.405    0.0117681     0     0     
82978.6    286.944    0.0111269     0     0     
81034.2    285.498    0.0104856     0     0     
79125.1    284.064    0.00984437     0     0     
77250.9    282.641    0.00920312     0     0     
75411.2    281.227    0.00856188     0     0     
73605.8    279.822    0.00792063     0     0     
71834.1    278.424    0.00727938     0     0     
70095.7    277.032    0.00663812     0     0     
68390.3    275.646    0.00599688     0     0     
66717.5    274.265    0.00535563     0     0     
65076.8    272.888    0.00471437     0     0     
63467.8    271.515    0.00407312     0     0     
61890.1    270.145    0.00343187     0     0     
60343.2    268.778    0.00279063     0     0     
58827    267.414    0.00240825     0     0     
57341.2    266.052    0.00228475     0     0     
55885.4    264.693    0.00216125     0     0     
54459.3    263.336    0.00203775     0     0     
53062.4    261.98    0.00191425     0     0     
51694.2    260.626    0.00179075     0     0     
50354.4    259.273    0.00166725     0     0     
49042.5    257.922    0.00154375     0     0     
47758    256.571    0.00142025     0     0     
46500.5    255.22    0.00129675     0     0     
45269.7    253.87    0.00117325     0     0     
44065    252.52    0.00104975     0     0     
42886.1    251.17    0.00092625     0     0     
41732.5    249.82    0.00080275     0     0     
40603.9    248.469    0.00067925     0     0     
39499.8    247.118    0.00055575     0     0     
38419.9    245.767    0.00043225     0     0     
37363.7    244.414    0.00030875     0     0     
36330.8    243.06    0.00018525     0     0     
35320.8    241.706    6.175e-05     0     0     
34333.5    240.35    0     0     0     
33368.3    238.993    0     0     0     
32425    237.635    0     0     0     
31503.2    236.275    0     0     0     
30602.5    234.914    0     0     0     
29722.6    233.551    0     0     0     
28863    232.187    0     0     0     
28023.4    230.82    0     0     0     
27203.5    229.452    0     0     0     
26402.9    228.082    0     0     0     
25621.2    226.71    0     0     0     
24858.1    225.336    0     0     0     
24113.3    223.959    0     0     0     
23386.4    222.58    0     0     0     
22677.1    221.199    0     0     0     
21985.1    219.816    0     0     0     
21310    218.429    0     0     0     
20651.6    217.041    0     0     0     
20009.4    215.65    0     0     0     
19383.3    214.256    0     0     0     
18773.8    213.562    0     0     0     
18182.6    213.567    0     0     0     
17610    213.572    0     0     0     
17055.4    213.577    0     0     0     
16518.4    213.583    0     0     0     
15998.2    213.588    0     0     0     
15494.5    213.594    0     0     0     
15006.6    213.599    0     0     0     
14534.1    213.605    0     0     0     
14076.4    213.61    0     0     0     
13633.2    213.616    0     0     0     
13204    213.622    0     0     0     
12788.3    213.627    0     0     0     
12385.7    213.633    0     0     0     
11995.8    213.639    0     0     0     
11618.1    213.645    0     0     0     
11252.4    213.651    0     0     0     
10898.2    213.657    0     0     0     
10555.1    213.663    0     0     0     
10222.9    213.669    0     0     0     
9901.08    213.675    0     0     0     
9589.44    213.682    0     0     0     
9287.62    213.688    0     0     0     
8995.3    213.694    0     0     0     
8712.19    213.701    0     0     0     
8438    213.707    0     0     0     
8172.45    213.714    0     0     0     
7915.26    213.721    0     0     0     
7666.17    213.727    0     0     0     
7424.93    213.734    0     0     0     
7191.29    213.741    0     0     0     
6965.01    213.748    0     0     0     
6745.85    213.754    0     0     0     
6533.6    213.761    0     0     0     
6328.03    213.768    0     0     0     
6128.94    213.776    0     0     0     
5936.11    213.783    0     0     0     
5749.36    213.79    0     0     0     
5568.49    213.797    0     0     0     
5393.32    213.805    0     0     0     
