    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1008.5000   300.4500    17.0640    -0.0419     0.5985
 1000.0000   299.8500    16.5944     0.1656     1.8928
  978.4000   298.2500    15.5952    -1.3676     3.2218
  973.9000   300.5500    14.3439    -0.6798     2.0923
  967.8000   300.8500    14.4480    -0.3308     1.1535
  925.0000   297.3500    15.6130    -0.5917     1.2688
  917.7000   296.7500    16.1985    -0.6062    -0.3500
  889.7000   295.5500    16.3009     1.1389    -2.5579
  850.0000   293.4500    13.3176     0.1047    -1.9973
  802.0000   291.4500    11.4135    -0.4358     4.9810
  800.2000   291.3500    11.1978    -0.2826     5.3926
  792.0000   291.4500    10.3613     0.6215     5.0620
  785.2000   292.0500     9.0709     0.7198     3.1180
  700.0000   285.4500     7.7887     2.1502     5.6015
  699.7000   285.3500     7.7401     2.1502     5.6015
  658.8000   282.0500     7.0187     1.4311     7.3622
  657.7000   281.9500     6.9825     1.4120     7.2640
  642.0000   281.0500     6.4088     2.6570     6.2594
  598.7000   278.2500     4.4487     1.4397     6.2360
  578.6000   276.8500     4.2580     0.3906     5.5864
  563.7000   275.1500     4.3472     0.7822     4.9384
  554.2000   274.2500     4.7490     0.6819     4.8523
  500.0000   269.5500     2.3055    -0.2860     4.0900
  492.5000   268.8500     1.5940    -0.3868     3.6797
  480.5000   267.7500     2.4722    -0.2790     3.9903
  465.8000   266.3500     0.7967    -1.4023     3.8527
  452.6000   264.5500     1.9200    -2.1332     3.8483
  446.6000   264.1500     2.2817    -1.9976     3.9204
  416.5000   261.3500     1.4344    -4.7866     2.0318
  400.0000   259.0500     1.3078    -1.8160     3.5640
  365.9000   254.5500     1.0863    -0.3209     4.5888
  346.7000   252.3500     0.5625    -2.5276     3.3543
  339.6000   251.1500     0.3189    -3.0674     2.0690
  300.0000   244.2500     0.2944    -3.0309     2.1222
  271.0000   237.9500     0.2339    -3.8520     0.6101
  267.4000   237.3500     0.1516    -3.7343     1.4335
  257.0000   235.2500     0.1654    -3.7967     2.0187
  250.0000   233.7500     0.1576    -4.4940     2.1919
  236.1000   230.4500     0.1238    -4.2553     3.3246
  234.3000   230.1500     0.1129    -4.2743     3.4613
  205.2000   223.4500     0.0477    -7.8811     3.1842
  200.0000   222.2500     0.0348    -9.2843     1.4705
  190.7000   219.7500     0.0407   -11.1000     0.0000
  174.4000   216.0500     0.0082   -14.7994    -6.5891
  160.4000   211.9500     0.0094   -15.6390    -7.6277
  156.3000   211.0500     0.0093   -16.1272    -8.2172
  150.6000   210.2500     0.0047   -17.7757    -6.1207
  150.0000   210.1500     0.0047   -18.1652    -5.9022
  140.2000   207.0500     0.0068   -19.7059    -5.6506
  125.0000   204.9500     0.0054   -14.1460     1.2376
  122.7000   204.2500     0.0047   -11.9543    -1.0459
  119.5000   204.3500     0.0040   -10.3361    -5.0413
  100.0000   198.8500     0.0033   -18.1262    -8.4524
   94.8000   197.3500     0.0034   -18.9624    -8.0491
   91.3000   197.9500     0.0031   -20.8960    -7.1951
   88.4000   200.7500     0.0027   -18.6129    -3.2820
   85.7000   199.2500     0.0026   -15.5145    -1.6306
   82.5000   198.2500     0.0029   -12.1177    -6.1743
   82.3000   198.1500     0.0028   -11.7779    -6.8000
   81.0000   198.8500     0.0029   -10.8499    -9.7693
   74.7000   201.1500     0.0025   -14.9907   -14.9907
   72.9000   201.5500     0.0023   -17.7302   -13.8524
   70.0000   202.2500     0.0021   -18.9260    -6.1494
   68.0000   202.2500     0.0022   -15.8554    -2.7957
   67.6000   202.5500     0.0023   -15.1116    -2.3934
   65.0000   201.8500     0.0021   -11.6669    -3.5669
   62.8000   200.8500     0.0024   -13.6118    -6.0604
   62.2000   200.6500     0.0024   -14.7281    -6.2517
   58.5000   203.2500     0.0021   -22.6447    -1.5835
   51.4000   205.2500     0.0021   -29.6208    -6.8385
   50.0000   205.7500     0.0023   -27.2335    -1.9044
   45.9000   209.1500     0.0019   -26.7372    -3.7577
   44.0000   208.9500     0.0020   -26.0960    -0.4555
