    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1008.5000   300.4500    17.0640       0.00       0.00
 1000.0000   299.8500    16.5944       0.00       0.00
  978.4000   298.2500    15.5952       0.00       0.00
  973.9000   300.5500    14.3439       0.00       0.00
  967.8000   300.8500    14.2524       0.00       0.00
  925.0000   297.3500    13.6386       0.00       0.00
  917.7000   296.7500    13.5270       0.00       0.00
  889.7000   295.5500    13.0852       0.00       0.00
  850.0000   293.4500    12.4761       0.00       0.00
  802.0000   291.4500    11.4135       0.00       0.00
  800.2000   291.3500    11.1978       0.00       0.00
  792.0000   291.4500    10.3613       0.00       0.00
  785.2000   292.0500     9.0709       0.00       0.00
  700.0000   285.4500     7.7887       0.00       0.00
  699.7000   285.3500     7.7401       0.00       0.00
  658.8000   282.0500     7.0187       0.00       0.00
  657.7000   281.9500     6.9825       0.00       0.00
  642.0000   281.0500     6.4088       0.00       0.00
  598.7000   278.2500     4.4487       0.00       0.00
  578.6000   276.8500     4.2580       0.00       0.00
  563.7000   275.1500     4.3472       0.00       0.00
  554.2000   274.2500     4.7490       0.00       0.00
  500.0000   269.5500     2.3055       0.00       0.00
  492.5000   268.8500     1.5940       0.00       0.00
  480.5000   267.7500     2.4722       0.00       0.00
  465.8000   266.3500     0.7967       0.00       0.00
  452.6000   264.5500     1.9200       0.00       0.00
  446.6000   264.1500     2.2817       0.00       0.00
  416.5000   261.3500     1.4344       0.00       0.00
  400.0000   259.0500     1.3078       0.00       0.00
  365.9000   254.5500     1.0863       0.00       0.00
  346.7000   252.3500     0.5625       0.00       0.00
  339.6000   251.1500     0.3189       0.00       0.00
  300.0000   244.2500     0.2944       0.00       0.00
  271.0000   237.9500     0.2339       0.00       0.00
  267.4000   237.3500     0.1516       0.00       0.00
  257.0000   235.2500     0.1654       0.00       0.00
  250.0000   233.7500     0.1576       0.00       0.00
  236.1000   230.4500     0.1238       0.00       0.00
  234.3000   230.1500     0.1129       0.00       0.00
  205.2000   223.4500     0.0477       0.00       0.00
  200.0000   222.2500     0.0348       0.00       0.00
  190.7000   219.7500     0.0407       0.00       0.00
  174.4000   216.0500     0.0082       0.00       0.00
  160.4000   211.9500     0.0094       0.00       0.00
  156.3000   211.0500     0.0093       0.00       0.00
  150.6000   210.2500     0.0047       0.00       0.00
  150.0000   210.1500     0.0047       0.00       0.00
  140.2000   207.0500     0.0068       0.00       0.00
  125.0000   204.9500     0.0054       0.00       0.00
  122.7000   204.2500     0.0047       0.00       0.00
  119.5000   204.3500     0.0040       0.00       0.00
  100.0000   198.8500     0.0033       0.00       0.00
   94.8000   197.3500     0.0034       0.00       0.00
   91.3000   197.9500     0.0031       0.00       0.00
   88.4000   200.7500     0.0027       0.00       0.00
   85.7000   199.2500     0.0026       0.00       0.00
   82.5000   198.2500     0.0029       0.00       0.00
   82.3000   198.1500     0.0028       0.00       0.00
   81.0000   198.8500     0.0029       0.00       0.00
   74.7000   201.1500     0.0025       0.00       0.00
   72.9000   201.5500     0.0023       0.00       0.00
   70.0000   202.2500     0.0021       0.00       0.00
   68.0000   202.2500     0.0022       0.00       0.00
   67.6000   202.5500     0.0023       0.00       0.00
   65.0000   201.8500     0.0021       0.00       0.00
   62.8000   200.8500     0.0024       0.00       0.00
   62.2000   200.6500     0.0024       0.00       0.00
   58.5000   203.2500     0.0021       0.00       0.00
   51.4000   205.2500     0.0021       0.00       0.00
   50.0000   205.7500     0.0023       0.00       0.00
   45.9000   209.1500     0.0019       0.00       0.00
   44.0000   208.9500     0.0020       0.00       0.00
