    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1007.5000   302.1800    17.3880     3.0000     3.0000
 1003.3018   301.9551    17.1433     3.0000     3.0000
  994.8172   301.4589    16.8368     3.0000     3.0000
  986.2171   300.6312    16.6476     3.0000     3.0000
  977.5045   300.1069    16.4546     3.0000     3.0000
  968.6834   299.4329    15.8279     3.0000     3.0000
  959.7586   298.8236    15.0162     3.0000     3.0000
  950.7337   298.5219    14.1895     3.0000     3.0000
  941.6129   297.9519    13.5905     3.0000     3.0000
  932.4009   297.3897    13.0023     3.0000     3.0000
  923.1013   296.8301    12.4542     3.0000     3.0000
  913.7180   296.5688    12.0955     3.0000     3.0000
  904.2547   296.0086    11.7308     3.0000     3.0000
  894.7152   295.4933    11.2051     3.0000     3.0000
  885.1034   295.0161    10.5447     3.0000     3.0000
  875.4229   294.5449     9.8736     3.0000     3.0000
  865.6780   294.0880     9.4029     3.0000     3.0000
  855.8730   293.6376     8.9345     3.0000     3.0000
  846.0122   292.9266     8.3885     3.0000     3.0000
  836.1002   292.5895     7.7294     3.0000     3.0000
  826.1414   292.2598     7.0604     3.0000     3.0000
  816.1386   291.8380     6.6641     3.0000     3.0000
  806.0945   291.0996     6.2989     3.0000     3.0000
  796.0121   290.6542     5.9354     3.0000     3.0000
  785.8941   289.8696     5.5775     3.0000     3.0000
  775.7436   289.4005     5.2147     3.0000     3.0000
  765.5637   288.9095     4.8674     3.0000     3.0000
  755.3574   288.1091     4.5171     3.0000     3.0000
  745.1287   287.3232     4.2108     3.0000     3.0000
  734.8817   286.8659     3.9544     3.0000     3.0000
  724.6203   286.0992     3.7047     3.0000     3.0000
  714.3484   285.3140     3.7151     3.0000     3.0000
  704.0701   284.8473     3.7255     3.0000     3.0000
  693.7876   284.0249     3.6869     3.0000     3.0000
  683.5029   283.1762     3.6152     3.0000     3.0000
  673.2186   282.3266     3.5476     3.0000     3.0000
  662.9379   281.4610     3.5029     3.0000     3.0000
  652.6637   280.5983     3.4577     3.0000     3.0000
  642.3997   279.7719     3.3034     3.0000     3.0000
  632.1496   278.9605     3.1090     3.0000     3.0000
  621.9169   278.1603     2.9226     3.0000     3.0000
  611.7055   277.3820     2.7580     3.0000     3.0000
  601.5189   276.6071     2.5915     3.0000     3.0000
  591.3606   275.8479     2.4181     3.0000     3.0000
  581.2339   274.7735     2.2418     3.0000     3.0000
  571.1421   274.0259     2.0920     3.0000     3.0000
  561.0887   273.2864     1.9866     3.0000     3.0000
  551.0768   272.2276     1.8800     3.0000     3.0000
  541.1091   271.4807     1.7382     3.0000     3.0000
  531.1881   270.7355     1.5907     3.0000     3.0000
  521.3163   269.6523     1.4375     3.0000     3.0000
  511.4958   268.8687     1.2758     3.0000     3.0000
  501.7287   267.7622     1.1125     3.0000     3.0000
  492.0177   266.9693     0.9957     3.0000     3.0000
  482.3655   265.8488     0.8882     3.0000     3.0000
  472.7743   264.7174     0.7917     3.0000     3.0000
  463.2460   263.8742     0.7341     3.0000     3.0000
  453.7826   262.7044     0.6759     3.0000     3.0000
  444.3861   261.5122     0.6306     3.0000     3.0000
  435.0585   260.3053     0.5939     3.0000     3.0000
  425.8019   259.4305     0.5568     3.0000     3.0000
  416.6179   258.1867     0.5024     3.0000     3.0000
  407.5082   256.9400     0.4460     3.0000     3.0000
  398.4747   255.6852     0.3935     3.0000     3.0000
  389.5189   254.3855     0.3626     3.0000     3.0000
  380.6422   253.0867     0.3314     3.0000     3.0000
  371.8466   251.7674     0.3025     3.0000     3.0000
  363.1331   250.4106     0.2778     3.0000     3.0000
  354.5032   249.0545     0.2530     3.0000     3.0000
  345.9585   247.3330     0.2317     3.0000     3.0000
  337.5000   245.9124     0.2146     3.0000     3.0000
  329.1289   244.4924     0.1973     3.0000     3.0000
  320.8469   243.0444     0.1823     3.0000     3.0000
  312.6550   241.2319     0.1696     3.0000     3.0000
  304.5545   239.7560     0.1569     3.0000     3.0000
