     P[hPa]       T[K]    Qv[g/kg]     U[m/s]     V[m/s]
  1012.0000   298.7566     16.5000        8.0       -2.0
  1006.6788   298.4710     16.5000        8.0       -2.0
   993.7566   297.3097     16.5000        8.0       -2.0
   977.8681   296.1240     16.4653        8.7       -1.1
   959.1181   294.3366     16.4160        9.5       -0.1
   937.6695   293.8517     15.0037       10.4        1.1
   913.7029   292.6368     14.0539       11.4        2.4
   887.3816   290.9641     13.0196       12.5        3.8
   858.9095   289.5332     11.9819       13.7        5.3
   828.5058   288.2331     10.8909       15.0        7.0
   796.4001   286.4850      9.8600       13.1        6.1
   762.8285   284.7977      8.8285       11.0        5.1
   728.0245   282.4671      7.9292        8.9        4.2
   692.2240   280.1665      7.0362        6.7        3.1
   655.6641   277.5236      6.2124        4.5        2.1
   618.5918   275.0572      5.3915        2.3        1.1
   581.2672   272.1640      4.5928       -0.0        0.0
   543.9387   269.3355      3.7626       -0.5        0.0
   506.8373   266.5730      2.8994       -0.1        0.0
   470.1707   262.9920      2.1751        0.4        0.0
   434.1302   259.3608      1.4971        0.8        0.0
   398.8835   255.0199      1.1204        1.2        0.0
   364.5850   250.5849      0.7866        1.6        0.0
   331.3774   245.1283      0.5436        2.0        0.0
   299.3820   239.4171      0.3468        2.4        0.0
   268.7174   233.4878      0.1899        2.7        0.0
   239.4904   226.9643      0.1144        3.1        0.0
   211.8129   220.1835      0.0598        3.4        0.0
   185.8072   213.2674      0.0270        3.7        0.0
   161.6005   206.9389      0.0112        4.0        0.0
   139.3558   201.7546      0.0086        4.3        0.0
   119.2440   198.8235      0.0069        4.5        0.0
   101.3156   196.1425      0.0053        4.7        0.0
    85.4782   193.3292      0.0035        4.9        0.0

