    P[hPa]     Q1OBS[K/day]     Q2OBS[K/day]     WLS1[m/s]
  1012.0000         -0.2500           0.6000        0.0000
   991.2000          0.1800           1.3700        0.0000
   945.5000          1.4100           3.8900        0.0000
   893.8000          2.5100           5.2800        0.0000
   836.1000          3.2900           5.4900        0.0000
   772.8000          3.7100           5.1200        0.0000
   705.2000          3.9500           4.5400        0.0000
   635.0000          4.0900           3.8200        0.0000
   564.5000          4.0700           3.1400        0.0000
   495.7000          3.8100           2.5200        0.0000
   430.7000          3.4200           1.9000        0.0000
   370.8000          2.9200           1.3400        0.0000
   316.7000          2.1600           0.8500        0.0000
   268.8000          1.2700           0.4500        0.0000
   227.0000          0.6400           0.1800        0.0000
   190.8000          0.3200           0.0500        0.0000
   159.9000          0.1300           0.0100        0.0000
   133.6000          0.0300           0.0000        0.0000
   111.3000          0.0100           0.0000        0.0000
    92.6000          0.0000           0.0000        0.0000
