Start time:      7/31/2024 11:09:18 PM

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 1.0,	      41,	  1005.4,	    28.4,	    82.7,	     1.4,	   136.3,	    1079
90.6,	     561,	   948.1,	    25.1,	    84.3,	     2.1,	   106.3,	     358
180.6,	    1081,	   893.6,	    22.0,	    87.8,	     1.7,	   167.9,	     341
270.6,	    1602,	   841.5,	    19.2,	    83.2,	     9.8,	   250.7,	     312
360.6,	    2112,	   793.2,	    17.8,	    65.4,	     9.6,	   251.7,	     451
450.6,	    2615,	   747.7,	    16.2,	    64.4,	     7.4,	   269.2,	     313
540.6,	    3147,	   702.2,	    13.1,	    67.2,	     5.9,	   274.0,	     311
630.6,	    3659,	   660.8,	    10.6,	    68.8,	     3.6,	   253.6,	     401
720.6,	    4171,	   621.1,	     7.5,	    73.1,	     2.3,	   220.2,	     365
810.6,	    4665,	   584.9,	     5.4,	    75.1,	     1.6,	   288.5,	     261
900.6,	    5195,	   548.1,	     2.2,	    59.9,	     2.9,	   211.3,	     385
990.6,	    5743,	   511.9,	    -1.2,	    52.4,	     6.4,	   162.2,	     302
1080.6,	    6289,	   477.8,	    -4.7,	    52.4,	     5.5,	   158.2,	     276
1170.6,	    6810,	   447.0,	    -7.8,	    32.6,	     4.5,	   175.2,	     395
1260.6,	    7332,	   417.8,	   -11.9,	    52.7,	     5.1,	   133.8,	     418
1350.6,	    7846,	   390.6,	   -14.2,	    28.9,	     9.1,	   126.2,	     313
1440.6,	    8365,	   364.5,	   -18.5,	    32.9,	     9.1,	   135.0,	     207
1530.6,	    8922,	   338.1,	   -22.3,	    31.0,	     8.0,	   125.6,	     276
1620.6,	    9424,	   315.6,	   -26.2,	    44.0,	     5.6,	   136.0,	     318
1710.6,	    9930,	   294.1,	   -29.2,	    21.1,	     7.9,	    95.7,	     394
1800.6,	   10401,	   275.2,	   -32.0,	     5.0,	     8.1,	    99.4,	     291
1890.6,	   10824,	   259.1,	   -35.2,	     9.9,	     8.1,	    99.8,	     228
1980.6,	   11260,	   243.3,	   -39.2,	    11.8,	     7.7,	    97.0,	     226
2070.6,	   11728,	   227.1,	   -43.6,	    24.3,	     8.1,	    97.9,	     284
2160.6,	   12171,	   212.5,	   -46.2,	     7.6,	     7.6,	    55.4,	     399
2250.6,	   12623,	   198.4,	   -49.5,	     8.3,	     7.7,	    42.6,	     315
2340.6,	   13074,	   185.1,	   -53.2,	     8.5,	     6.3,	    34.8,	     226
2430.6,	   13528,	   172.4,	   -56.9,	     7.2,	    11.1,	    57.0,	     295
2520.6,	   13967,	   160.7,	   -60.3,	     8.0,	    11.9,	    71.4,	     206
2610.6,	   14400,	   149.9,	   -62.9,	     8.1,	    13.4,	    79.8,	     281
2700.6,	   14856,	   139.1,	   -66.2,	    13.5,	    19.1,	    76.9,	     344
2790.6,	   15345,	   128.2,	   -70.6,	    22.3,	    19.2,	    81.1,	     305
2880.6,	   15844,	   117.8,	   -74.6,	    39.1,	    18.4,	    87.6,	     303
2970.6,	   16300,	   108.8,	   -77.1,	    46.9,	    17.4,	    81.3,	     258
3060.6,	   16746,	   100.8,	   -76.0,	    22.5,	    17.4,	    94.5,	     418
3150.6,	   17214,	    92.9,	   -75.1,	    16.5,	    19.1,	    96.7,	     292
3240.6,	   17690,	    85.6,	   -75.6,	    13.4,	    18.1,	   101.2,	     318
3330.6,	   18189,	    78.5,	   -75.6,	    12.6,	    12.9,	   108.6,	     384
3420.6,	   18691,	    72.0,	   -73.7,	     7.2,	    18.4,	    80.6,	     257
3510.6,	   19125,	    66.9,	   -68.7,	     3.0,	    15.4,	   108.1,	     217
3600.6,	   19595,	    61.8,	   -68.1,	     2.6,	    15.0,	    95.2,	     323
3690.6,	   20111,	    56.8,	   -66.4,	     2.0,	    18.6,	    94.4,	     358
3780.6,	   20626,	    52.1,	   -66.5,	     2.0,	    22.2,	    97.3,	     324
3870.6,	   21123,	    48.0,	   -64.1,	     1.3,	    23.8,	    82.7,	     237
3960.6,	   21627,	    44.2,	   -63.2,	     1.2,	    21.6,	    72.6,	     393
4050.6,	   22162,	    40.6,	   -62.5,	     1.1,	    24.3,	    78.3,	     466
4140.6,	   22683,	    37.3,	   -61.0,	     0.9,	    23.9,	    89.4,	     253
4230.6,	   23197,	    34.3,	   -60.9,	     0.9,	    24.7,	    77.9,	     297
4320.6,	   23745,	    31.4,	   -59.8,	     0.8,	    26.5,	    88.9,	     645
4410.6,	   24330,	    28.6,	   -58.2,	     0.8,	    28.0,	   112.1,	     380
4500.6,	   24914,	    26.1,	   -60.1,	     0.9,	    23.9,	    86.9,	     398
