    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1010.2000   301.3500    19.2345     0.4300     1.1203
 1008.9000   301.0500    17.6882     0.0941     0.8951
 1000.0000   299.9500    17.1579    -0.3119     1.4672
  961.7000   299.0500    15.5301     6.5830     2.6597
  935.9000   297.9500    16.8862    11.8401     4.3095
  933.0000   297.7500    16.5148    12.2299     4.6946
  925.0000   297.4500    16.5676    10.6921     5.4479
  917.0000   297.2500    15.2264     8.1431     4.8929
  895.2000   296.2500    15.0724     7.9512     1.5456
  881.9000   295.6500    13.3336     9.4909     3.4544
  865.8000   294.7500    13.2249     8.8878    -0.4658
  850.0000   294.3500    11.0292     7.3635     2.2513
  849.7000   294.3500    11.0331     7.3635     2.2513
  837.1000   293.9500    10.3529     5.0930     0.2669
  813.8000   292.8500    10.6616    -0.0000    -0.0000
  794.4000   291.4500     9.6484     0.0628    -0.8978
  755.3000   290.6500     6.9238    -2.7580    -2.1548
  700.0000   286.1500     7.6142    -3.1761    -0.3900
  680.4000   285.1500     7.0661    -5.3562    -1.9495
  670.9000   284.5500     7.1400    -5.1777    -3.7618
  662.9000   284.0500     6.2358    -5.7882    -2.2219
  646.0000   283.1500     5.6591    -6.1806    -3.2863
  613.9000   279.9500     5.7014    -6.9786    -3.2542
  598.8000   278.3500     5.0409    -4.4352    -5.2857
  541.4000   272.6500     4.9481    -3.6466    -2.2787
  500.0000   269.0500     3.7047    -5.2586    -3.8206
  495.4000   268.3500     3.6568    -4.3520    -3.5242
  471.9000   265.6500     3.2191    -6.0853    -1.6306
  427.6000   259.8500     1.9579    -6.5596    -3.6361
  420.9000   259.2500     1.6739    -6.8891    -1.7176
  411.7000   259.8500     0.3047    -5.2869    -1.5160
  402.1000   258.8500     0.3518    -5.0806     0.4445
  400.0000   258.5500     0.3138    -5.0806     0.4445
  386.6000   257.7500     0.1521    -5.7682    -0.6063
  383.5000   257.1500     0.2920    -5.7119    -1.0072
  375.7000   255.8500     0.3749    -6.0666     0.6376
  368.5000   254.8500     0.3518    -6.6751    -1.2975
  356.3000   252.9500     0.1550    -8.6719     2.0021
  351.2000   252.1500     0.1889    -9.1105     1.2804
  340.1000   250.0500     0.5069   -10.8851    -0.5705
  332.7000   248.4500     0.5955    -9.5284     1.1699
  325.6000   247.0500     0.5959    -9.6867    -0.5077
  317.9000   246.0500     0.4085    -9.8334    -3.3859
  305.4000   243.9500     0.2697   -10.7789    -3.7115
  300.9000   243.2500     0.2121   -10.3816    -2.9769
  300.0000   243.1500     0.2108   -10.2388    -2.7435
  272.4000   237.3500     0.2055    -8.6383    -1.6791
  263.8000   235.3500     0.1989    -9.8494    -4.1808
  254.8000   233.6500     0.1372    -8.6099    -4.0149
  250.2000   232.9500     0.1203    -7.0767    -2.1636
  250.0000   232.8500     0.1142    -7.1723    -2.1928
  236.1000   230.4500     0.0702   -12.0705     0.8441
  202.0000   221.7500     0.0153   -12.0861     7.2620
  200.0000   221.2500     0.0147   -13.2502     7.6500
  196.5000   220.3500     0.0152   -13.3349     8.6598
  169.6000   211.9500     0.0118   -17.0386     7.9452
  168.4000   211.5500     0.0120   -17.5816     7.4630
  157.8000   210.1500     0.0070   -18.9971     0.3316
  150.0000   207.8500     0.0060   -19.7517     2.4252
  144.7000   206.2500     0.0055   -19.3673     4.1167
  143.4000   206.9500     0.0061   -19.5848     4.5215
  138.5000   207.3500     0.0056   -16.4774    -0.8635
  136.3000   206.5500     0.0047   -14.9141    -2.3622
  127.7000   203.8500     0.0032   -20.6762    -8.3537
  112.9000   197.6500     0.0023   -27.2653    -6.7980
  107.0000   197.7500     0.0026   -21.0989    -8.0991
  106.1000   201.2500     0.0042   -21.1943    -9.4363
  100.0000   199.3500     0.0030   -27.0418    -9.3112
   96.9000   197.9500     0.0023   -30.4267    -8.1528
   95.5000   197.9500     0.0024   -31.2157    -6.0677
   89.3000   197.7500     0.0022   -21.8259    -5.0389
   85.0000   200.4500     0.0031   -19.4575    -3.0818
   81.3000   199.1500     0.0021   -17.5330    -1.5339
   74.7000   199.6500     0.0017   -22.1848    -4.3123
   74.5000   199.6500     0.0017   -22.3551    -3.9418
   73.0000   202.0500     0.0024   -25.1041    -2.1963
   70.0000   205.1500     0.0023   -21.2870     0.7434
   67.3000   208.2500     0.0012   -15.5878     4.7657
   67.1000   208.3500     0.0012   -15.3009     4.6779
   64.9000   206.7500     0.0010   -10.3281     3.1576
   64.0000   206.4500     0.0010    -9.3485     0.9826
   63.8000   206.4500     0.0010    -9.2943     0.3246
   62.5000   207.5500     0.0012    -9.9490    -2.6658
   60.3000   207.6500     0.0012   -14.9530    -2.1015
   57.6000   207.2500     0.0012   -11.7847    -5.2469
   54.4000   207.6500     0.0014   -16.6365    -2.3381
   52.1000   207.1500     0.0013   -16.1947    -9.3500
   50.0000   208.4500     0.0016   -21.3842   -10.8958
   43.5000   208.9500     0.0020   -30.5290    -5.3831
   42.5000   208.4500     0.0019   -29.2286    -2.0439
   38.1000   214.0500     0.0042   -28.1614     1.4759
   33.7000   218.4500     0.0079   -27.6091     9.5066
   33.2000   217.8500     0.0075   -26.6102    10.7512
   30.3000   218.0500     0.0084   -21.5704     1.1305
   30.0000   218.2500     0.0087   -21.4476     1.4998
   25.6000   217.3500     0.0092   -19.6730    -1.0310
   22.3000   216.0500     0.0091   -30.0106    -6.9285
   21.8000   215.5500     0.0088   -31.3274    -3.2926
   21.1000   217.0500     0.0108   -33.2503    -4.0826
   20.0000   220.1500     0.0162   -33.0181     3.4703
   19.8000   220.8500     0.0177   -32.0011     5.0685
   17.7000   224.6500     0.0300   -35.9781     1.2564
   16.0000   229.7500     0.0567   -23.6608    10.5345
   15.6000   228.8500     0.0530   -20.8034     8.8305
   14.7000   229.1500     0.0580   -23.8854     0.8341
   14.2000   229.5500     0.0626   -24.3072     2.1266
   13.5000   229.4500     0.0652   -18.6288     1.6298
   13.3000   229.7500     0.0682   -16.7858     3.2628
   12.6000   227.4500     0.0567   -13.3475     9.0030
   12.2000   226.8500     0.0550   -11.3280     5.0435
   12.1000   227.0500     0.0566   -11.5351     3.3076
   11.4000   226.6500     0.0576   -18.4101    -7.8146
   10.4000   224.7500     0.0516   -30.3734   -16.1498
   10.0000   224.4500     0.0520   -29.1209   -14.2032
    9.7000   223.3500     0.0476   -29.6705   -15.1179
    9.4000   223.3500     0.0491   -28.0937   -11.3506
    8.9000   225.1500     0.0630   -36.4414    -8.4132
