    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1007.2000   301.6500    18.6259    -0.8889     0.1408
 1005.7000   301.1500    16.8643    -1.0337     0.3762
 1000.0000   300.5500    17.0756    -1.2053     0.4870
  949.7000   297.0500    16.3492    -2.8718     0.4036
  925.0000   296.4500    15.3693    -4.4446     0.7040
  915.5000   296.4500    14.3097    -5.5455     0.7794
  894.6000   294.9500    14.2835    -4.7286     1.9105
  850.0000   292.9500    13.9561    -1.9939     0.9298
  805.5000   290.5500    11.8353    -2.4864     0.7602
  734.1000   287.9500     6.2705    -2.2957     1.2206
  700.0000   285.0500     7.0753    -1.8187    -1.0500
  672.3000   282.6500     7.2771    -1.8124    -1.4160
  591.7000   276.4500     3.9641    -4.0752    -1.0161
  570.8000   274.3500     4.7918    -2.9353    -1.9062
  514.9000   270.0500     1.4292    -1.1069    -3.2148
  511.7000   269.4500     4.0175    -0.6106    -3.1412
  508.5000   269.5500     2.8491    -0.2162    -3.0924
  500.0000   268.9500     1.9213     0.2528    -2.8890
  489.9000   269.6500     0.9718     1.3766    -1.9660
  480.6000   269.6500     0.5571     0.4951     0.0696
  469.4000   268.8500     0.4775    -1.3906     2.3144
  439.9000   264.8500     0.3288    -4.6946    -1.9927
  422.9000   262.3500     0.3619    -7.6707    -0.6711
  400.1000   258.9500     0.3240    -5.9816    -2.7893
  400.0000   258.9500     0.3241    -5.9816    -2.7893
  395.1000   258.3500     0.3126    -4.9482    -3.2134
  381.5000   256.5500     0.1956    -5.7916    -1.1258
  360.2000   253.4500     0.2286    -6.1436    -4.3018
  337.2000   249.7500     0.1601    -9.5009    -4.2301
  303.9000   243.5500     0.1136   -12.1607    -7.8973
  300.0000   242.7500     0.0962   -13.0978    -6.6737
  280.2000   239.5500     0.0680   -13.5437    -3.1268
  258.5000   234.3500     0.1505   -15.9124    -1.6725
  254.3000   233.4500     0.1244   -17.2307    -2.4216
  250.0000   232.4500     0.1145   -16.2493    -2.8652
  237.6000   229.3500     0.0879   -12.4320    -3.8008
  233.4000   228.2500     0.0699   -13.4376    -4.8909
  228.2000   227.0500     0.0661   -13.2464    -5.8977
  221.7000   225.9500     0.0440   -16.4770    -6.9941
  200.0000   220.5500     0.0475   -25.7253    -5.4681
  186.6000   216.5500     0.0508   -28.8831    -3.5464
  171.0000   211.9500     0.0315   -22.7762    -3.2010
  165.2000   210.2500     0.0259   -20.8474    -6.3737
  150.0000   207.6500     0.0088   -13.7114   -10.7125
  149.9000   207.5500     0.0087   -13.7114   -10.7125
  140.2000   205.4500     0.0060   -18.6413   -16.2047
  132.8000   203.4500     0.0045   -19.3995   -13.0851
  110.2000   196.7500     0.0027   -21.1405   -14.2594
  105.4000   197.4500     0.0031   -24.4894   -13.5747
  100.0000   197.7500     0.0032   -21.0263    -9.8047
   96.2000   198.6500     0.0035   -24.8485   -10.0395
   80.2000   200.8500     0.0030   -21.3186    -1.8651
   75.0000   201.3500     0.0026   -11.7838     0.6176
   74.1000   200.8500     0.0025   -11.2158    -1.3771
   73.9000   201.0500     0.0025   -11.0621    -1.7521
   72.5000   202.5500     0.0026   -11.6722    -5.9473
   70.0000   203.8500     0.0026   -11.5450    -6.3995
   67.9000   205.4500     0.0025   -12.0210    -8.1083
   65.1000   208.6500     0.0026   -12.3924    -0.4328
   57.1000   206.5500     0.0011   -16.7974    -0.2932
   52.0000   210.0500     0.0019   -17.3762    -0.9106
   50.0000   210.5500     0.0021   -19.6073     2.7556
   46.2000   213.0500     0.0031   -19.7247     1.7257
   43.5000   213.8500     0.0036   -17.4047     5.3212
   38.8000   215.5500     0.0049   -21.6174    -1.8913
   37.5000   215.2500     0.0049   -25.4961     0.4450
   35.1000   215.4500     0.0054   -21.6000     0.0000
   33.7000   217.0500     0.0068   -22.1596    -7.2001
   33.6000   217.1500     0.0069   -22.2547    -7.2310
   30.0000   216.4500     0.0071   -24.5647    -2.5819
   29.0000   216.2500     0.0072   -21.4967    -0.3752
   26.9000   217.0500     0.0085   -19.5731     1.0258
   23.6000   218.3500     0.0112   -20.2870     3.5772
   20.9000   220.0500     0.0153   -26.7633     1.4026
   20.0000   222.2500     0.0205   -25.8961    -0.4520
   17.5000   226.2500     0.0360   -31.3952     0.5480
   15.9000   229.4500     0.0553   -28.8956    -0.5044
   14.4000   233.0500     0.0880   -22.5896    -6.4775
   13.7000   233.7500     0.0991   -21.5967     0.3770
   13.2000   232.8500     0.0941   -19.2399     3.7399
   12.3000   230.2500     0.0776   -16.0423     2.2546
   10.7000   226.7500     0.0621   -19.8771     4.5890
   10.3000   226.1500     0.0605   -22.5449     1.5765
   10.1000   226.8500     0.0664   -27.3833    -0.9562
