    P[hPa]       T[K]     Qv[g/kg]   U[m/s]     V[m/s] 
 1019.00000   291.75000   8.40869   -1.93352   -0.70375                       
 1014.28472   292.82222   7.94012   -2.29914   -0.59157                       
 1000.94444   292.19444   7.71611   -3.98053   -0.37406                       
  984.35036   290.97628   7.52686   -4.94972    1.29437                       
  965.41556   289.50104   7.32117   -4.92625    1.46619                       
  943.47249   287.79023   7.08289   -4.87606    1.62536                       
  918.49606   285.93189   6.74481   -4.89650    1.56053                       
  891.61485   284.21062   6.19382   -4.61864    0.46099                       
  862.22107   282.33135   5.59866   -4.08777   -0.85877                       
  830.55307   280.33380   5.29831   -2.36130   -2.41295                       
  797.33523   278.63636   4.72051    1.82001   -5.38600                       
  762.66766   276.97156   3.97740    5.16569   -6.98907                       
  727.04545   276.23182   3.24975    4.14290   -6.05657                       
  690.61397   278.34596   2.10646    5.26902   -1.50634                       
  653.92997   277.57269   0.66121   10.87089   -3.60902                       
  617.12809   276.26191   1.37291   14.67075   -4.31859                       
  580.16083   273.44029   2.99170   14.67075   -4.31859                       
  542.59833   270.09603   1.97262   14.67075   -4.31859                       
  505.62941   265.65471   2.12891   14.67075   -4.31859                       
  469.56364   262.97000   1.09337   14.67075   -4.31859                       
  433.10511   262.00015   0.28804   14.67075   -4.31859                       
  398.32166   258.63344   0.09837   14.67075   -4.31859                       
  365.49522   254.39777   0.06660   14.67075   -4.31859                       
  331.96774   249.77151   0.03451   14.67075   -4.31859                       
  300.29167   244.10250   0.01000   14.67075   -4.31859                       
  271.05469   238.96962   0.00421   14.67075   -4.31859                       
  242.92103   234.31362   0.01000   14.67075   -4.31859                       
  226.03730   229.48962   0.01000   14.67075   -4.31859                       
  208.58657   224.50362   0.01000   14.67075   -4.31859                       
  190.56885   219.35562   0.01000   14.67075   -4.31859                       
  171.94214   214.03362   0.01000   14.67075   -4.31859                       
  152.76944   212.01312   0.01000   14.67075   -4.31859                       
  132.98775   213.42612   0.01000   14.67075   -4.31859                       
  112.63907   214.87962   0.01000   14.67075   -4.31859                       
   91.72339   216.37362   0.01000   14.67075   -4.31859                       
