    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1022.0000   289.1500     9.6951    -1.3399    -7.5988
 1000.0000   287.9500     9.5872    -4.0465   -11.1178
  925.0000   283.7500     8.4972    -6.7393   -14.4524
  917.0000   283.4500     8.3989    -6.7393   -14.4524
  862.0000   281.3500     7.7495    -6.7496    -7.7645
  850.0000   281.1500     7.7495    -6.1835    -6.1835
  846.0000   281.0500     7.7593    -6.3049    -5.2904
  837.0000   280.9500     7.7692    -7.1480    -0.8777
  811.0000   282.0500     8.6643     0.0000     4.1152
  785.0000   283.1500     9.6853     5.6584     9.8007
  776.0000   282.4500     9.3321     8.9276    10.6395
  700.0000   276.5500     6.6357    16.4336    11.5069
  684.0000   275.3500     5.2424    16.8252    10.9264
  673.0000   276.3500     2.9314    17.0133    10.6311
  663.0000   277.9500     3.9245    17.1963    10.3326
  617.0000   273.7500     3.1898    18.1821     8.4785
  594.0000   271.4500     2.8518    19.4184     9.4710
  539.0000   269.0500     0.5897    22.0455    12.2200
  515.0000   266.7500     0.8193    23.1653    13.3745
  504.0000   265.6500     0.9591    26.0431    11.0546
  500.0000   266.2500     0.9291    27.0693     9.8524
  480.0000   266.6500     0.2899    29.8125     7.9882
  418.0000   259.4500     0.1900    37.0370     0.0000
  400.0000   258.6500     0.1500    38.9459    -3.4073
  363.0000   255.0500     0.1000    38.7142    -5.4409
  347.0000   252.4500     0.0900    38.5007    -6.7887
  300.0000   244.0500     0.0600    38.0658     0.0000
  250.0000   233.4500     0.0400    42.0206     3.6763
  249.0000   233.0500     0.0400    42.0206     3.6763
  200.0000   220.0500     0.0400    39.0947     0.0000
  155.0000   206.9500     0.0400    44.2387     0.0000
  154.0000   206.6500     0.0400    43.7243     0.0000
  150.0000   207.4500     0.0400    42.1811     0.0000
  137.0000   203.8500     0.0400    40.1173     0.7003
  118.0000   200.6500     0.0400    36.4337     2.5477
  109.0000   198.2500     0.0400    34.8463     3.0487
  100.0000   195.6500     0.0400    29.8354     0.0000
   93.2000   197.0500     0.0400    20.0617     0.0000
   92.0000   196.6500     0.0400    18.0041     0.0000
   85.0000   193.9500     0.0400    14.7010     8.4877
   78.3000   191.2500     0.0400    21.7521     7.9171
   70.0000   192.2500     0.0400    22.3594     5.9912
   67.0000   193.5500     0.0400    24.0850     2.1072
   63.0000   195.3500     0.0400    22.3594    -5.9912
   61.4000   196.0500     0.0400    21.2080    -4.1224
   57.1000   203.8500     0.0400    16.4509     0.5745
   56.0000   204.1500     0.0400    14.8609     1.3002
   50.0000   206.0500     0.0400    15.7042     2.7691
   38.0000   208.9500     0.0400    19.9854     1.7485
   33.0000   210.4500     0.0400    17.3906    -4.6598
   30.0000   211.4500     0.0400    18.3844    -4.9261
   29.0000   213.2500     0.0400    18.8519    -6.8615
   28.8000   213.6500     0.0400    17.9684    -4.4800
   27.5000   218.6500     0.0400     7.7212     4.1055
   27.0000   218.5500     0.0400     3.6374     3.6374
   25.0000   218.2500     0.0400     6.9437     8.2752
   24.0000   218.1500     0.0400    10.7228     5.0001
   22.0000   217.7500     0.0400     7.1634     5.0158
   21.3000   217.6500     0.0400     9.2953     3.0202
   20.0000   218.4500     0.0400    11.4281    -3.0622
   19.0000   218.9500     0.0400    11.4276    -9.5889
   17.0000   220.1500     0.0400     9.1842    -3.3428
   16.0000   220.7500     0.0400     2.0498     0.1793
   14.0000   222.1500     0.0400    -0.8427     0.5901
   13.1000   222.8500     0.0400     1.8508   -11.6856
   13.0000   222.7500     0.0400     5.4349   -11.6552
   12.0000   221.8500     0.0400     9.5165   -16.4830
   11.0000   220.8500     0.0400     4.1152     7.1278
   10.0000   223.8500     0.0400     2.7959   -10.4344
    9.0000   227.5500     0.0400    13.7920   -11.5728
    8.0000   231.7500     0.0400    -1.7392    -3.7297
    7.5000   234.0500     0.0400    -1.7392    -3.7297

