    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1000.0000   301.2460    17.9026        1.0        0.0
  975.0000   299.1690    17.4521        1.0        0.0
  950.0000   297.5150    16.4586        1.0        0.0
  925.0000   296.3500    15.0866        1.0        0.0
  900.0000   295.0140    13.8410        1.0        0.0
  875.0000   293.7520    12.4337        1.0        0.0
  850.0000   292.5210    11.0566        1.0        0.0
  825.0000   291.3090     9.7403        1.0        0.0
  800.0000   290.1060     8.5836        1.0        0.0
  775.0000   288.8670     7.5957        1.0        0.0
  750.0000   287.5450     6.7653        1.0        0.0
  700.0000   284.4660     5.5570        1.0        0.0
  650.0000   280.8210     4.5747        1.0        0.0
  600.0000   276.8200     3.6343        1.0        0.0
  550.0000   272.9960     2.8035        1.0        0.0
  500.0000   268.8350     2.0870        1.0        0.0
  450.0000   263.9960     1.4743        1.0        0.0
  400.0000   258.4150     0.9841        1.0        0.0
  350.0000   251.8480     0.6244        1.0        0.0
  300.0000   243.7090     0.3600        1.0        0.0
  250.0000   233.8440     0.1676        1.0        0.0
  225.0000   228.0750     0.1010        1.0        0.0
  200.0000   221.6990     0.0551        1.0        0.0
  175.0000   214.6390     0.0276        1.0        0.0
  150.0000   206.8400     0.0127        1.0        0.0
  125.0000   198.6760     0.0054        1.0        0.0
  100.0000   191.7450     0.0026        1.0        0.0
   70.0000   194.5870     0.0022        1.0        0.0
   50.0000   206.7710     0.0023        1.0        0.0
