    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1010.7000   302.1500    17.0380     0.      0.
 1006.3531   301.6219    17.4780     0.      0.
  995.2850   300.5781    17.8956     0.      0.
  984.3200   299.9458    17.3709     0.      0.
  973.3549   299.3136    16.8463     0.      0.
  962.3899   298.6813    16.3216     0.      0.
  951.4248   298.0490    15.7970     0.      0.
  940.4597   297.4167    15.2723     0.      0.
  929.8023   296.7570    14.9664     0.      0.
  919.1625   296.8730    15.1191     0.      0.
  908.7385   296.3783    15.3312     0.      0.
  898.3145   295.8836    15.5433     0.      0.
  888.1425   295.3189    15.5331     0.      0.
  878.0638   294.7283    15.4408     0.      0.
  868.0095   294.1835    15.1448     0.      0.
  858.0595   293.8335    13.9804     0.      0.
  848.1551   293.5225    12.6908     0.      0.
  838.4449   293.3775    10.8675     0.      0.
  828.7746   292.8008    10.7417     0.      0.
  819.3004   292.1362    10.8515     0.      0.
  809.9360   291.4794    10.8659     0.      0.
  800.5716   290.8227    10.8803     0.      0.
  791.2072   290.1659    10.8947     0.      0.
  781.8428   289.5091    10.9091     0.      0.
  772.9288   288.9490    10.9353     0.      0.
  764.1236   288.4555    10.4027     0.      0.
  755.3184   287.9619     9.8701     0.      0.
  746.5132   287.4684     9.3375     0.      0.
  737.7081   286.9749     8.8050     0.      0.
  728.9029   286.4814     8.2724     0.      0.
  720.0977   285.9879     7.7398     0.      0.
  711.2925   285.4944     7.2072     0.      0.
  702.9167   284.9444     6.7275     0.      0.
  694.5959   284.5233     6.3291     0.      0.
  686.2820   284.1744     5.9717     0.      0.
  678.0520   283.5993     5.5102     0.      0.
  669.9479   282.8740     5.4398     0.      0.
  662.0140   282.2404     5.0239     0.      0.
  654.0802   281.6067     4.6079     0.      0.
  646.1463   280.9731     4.1920     0.      0.
  637.8378   280.2615     3.9532     0.      0.
  627.5797   279.3264     3.8891     0.      0.
  615.3711   278.2136     3.8127     0.      0.
  601.2121   276.9230     3.7242     0.      0.
  585.0303   275.4479     3.6230     0.      0.
  566.8258   273.7885     3.5092     0.      0.
  546.6708   271.9514     3.3832     0.      0.
  524.9333   269.8775     3.1941     0.      0.
  502.9978   267.8532     2.4391     0.      0.
  480.8823   265.9832     2.1072     0.      0.
  457.2127   263.9194     1.9241     0.      0.
  432.9469   261.3624     1.5705     0.      0.
  408.3059   258.2119     1.0033     0.      0.
  383.2405   255.2878     0.3891     0.      0.
  358.4316   251.5079     0.8222     0.      0.
  333.1854   247.9694     0.1060     0.      0.
  308.7084   243.4637     0.1365     0.      0.
  284.2183   238.7815     0.0844     0.      0.
  260.1191   234.8210     0.0573     0.      0.
  236.7275   230.6786     0.1915     0.      0.
  214.0067   226.3610     0.0728     0.      0.
  192.3843   221.8616     0.0584     0.      0.
  171.6689   217.1804     0.0252     0.      0.
  152.2045   212.3238     0.0078     0.      0.
  133.9892   207.2855     0.0052     0.      0.
  117.1568   208.3603     0.0051     0.      0.
  101.6636   209.7408     0.0029     0.      0.
   87.7484   211.1662     0.0030     0.      0.
   75.3084   212.6398     0.0030     0.      0.
   64.4485   214.1566     0.0028     0.      0.
   55.0494   215.7215     0.0028     0.      0.

