    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1028.0000    16.6000     6.8133     -15.0        0.0
 1000.0000    14.6000     5.3116     -15.0        0.0
  925.0000     8.6000     5.6677     -15.0        0.0
  888.0000     5.8000     5.1929     -15.0        0.0
  867.0000     3.6000     5.0642     -15.0        0.0
  857.0000     2.8000     5.1236     -15.0        0.0
  852.0000     2.6000     5.1533     -15.0        0.0
  850.0000     2.6000     5.1632     -15.0        0.0
  848.0000     2.2000     4.9256     -15.0        0.0
  844.0000     2.0000     3.3686     -15.0        0.0
  843.0000     2.4000     3.2295     -15.0        0.0
  842.0000     3.4000     3.2295     -15.0        0.0
  841.0000     4.4000     1.1487     -15.0        0.0
  839.0000     5.8000     0.9192     -15.0        0.0
  835.0000     7.8000     0.4498     -15.0        0.0
  826.0000     8.8000     0.2799     -15.0        0.0
  814.0000     8.3000     0.2499     -15.0        0.0
  802.0000     7.8000     0.2200     -15.0        0.0
  793.0000     8.4000     0.1700     -15.0        0.0
  783.0000    11.0000     0.1900     -15.0        0.0
  777.0000    11.6000     0.3099     -15.0        0.0
  770.0000    12.2000     0.5597     -15.0        0.0
  700.0000     5.4000     0.5197     -15.0        0.0
  691.0000     4.4000     0.4798     -15.0        0.0
  665.0000     2.4000     0.6895     -15.0        0.0
  615.0000    -1.7000     1.4280     -15.0        0.0
  607.0000    -2.1000     1.0489     -15.0        0.0
  580.0000    -3.5000     0.3199     -15.0        0.0
  566.0000    -2.7000     0.3599     -15.0        0.0
  516.0000    -6.9000     0.3499     -15.0        0.0
  500.0000    -8.3000     0.3499     -15.0        0.0
  458.0000   -12.5000     0.7295     -15.0        0.0
  456.0000   -12.6000     0.6895     -15.0        0.0
  424.0000   -14.7000     0.2599     -15.0        0.0
  400.0000   -17.9000     0.1800     -15.0        0.0
  385.0000   -19.1000     0.0700     -15.0        0.0
  324.0000   -29.6000     0.0500     -15.0        0.0
  300.0000   -34.3000     0.0400     -15.0        0.0
  298.0000   -34.7000     0.0400     -15.0        0.0
  270.0000   -38.4000     0.0300     -15.0        0.0
  259.0000   -39.9000     0.0300     -15.0        0.0
  250.0000   -42.1000     0.0300     -15.0        0.0
  227.0000   -48.5000     0.0300     -15.0        0.0
  218.0000   -48.5000     0.0300     -15.0        0.0
  215.0000   -49.3000     0.0300     -15.0        0.0
  212.0000   -50.1000     0.0300     -15.0        0.0
  200.0000   -53.5000     0.0300     -15.0        0.0
  179.0000   -58.9000     0.0300     -15.0        0.0
  167.0000   -62.3000     0.0300     -15.0        0.0
  150.0000   -66.9000     0.0300     -15.0        0.0
  144.0000   -69.1000     0.0300     -15.0        0.0
  139.0000   -69.7000     0.0300     -15.0        0.0
  118.0000   -72.5000     0.0300     -15.0        0.0
  100.0000   -75.3000     0.0300     -15.0        0.0
   97.4000   -77.1000     0.0300     -15.0        0.0
   83.0000   -77.8000     0.0300     -15.0        0.0
   78.0000   -78.0000     0.0300     -15.0        0.0
   76.7000   -78.1000     0.0300     -15.0        0.0
   71.0000   -77.6000     0.0300     -15.0        0.0
   70.0000   -77.5000     0.0300     -15.0        0.0
   69.0000   -77.1000     0.0300     -15.0        0.0
   68.6000   -76.9000     0.0300     -15.0        0.0
